code,emotion,confidence
char_002_amiya_1,happy,0.2604
char_002_amiya_1#7,happy,0.0000
char_002_amiya_10,happy,0.2675
char_002_amiya_11,happy,0.2653
char_002_amiya_2,happy,0.2622
char_002_amiya_3,happy,0.2593
char_002_amiya_4,happy,0.2666
char_002_amiya_5,happy,0.2650
char_002_amiya_6,happy,0.2609
char_002_amiya_7,happy,0.2683
char_002_amiya_8,happy,0.2759
char_002_amiya_9,happy,0.2668
char_002_amiya_summer_1,fear,0.2830
char_002_amiya_summer_2,fear,0.2844
char_003_kalts_1,surprise,0.2687
char_003_kalts_2,surprise,0.2705
char_003_kalts_3,surprise,0.2722
char_003_kalts_4,surprise,0.2730
char_003_kalts_5,surprise,0.2720
char_003_kaltsn07_1,surprise,0.3491
char_003_kaltsn07_2,surprise,0.3489
char_003_kaltsn07_3,surprise,0.3492
char_003_kaltsn08_1,surprise,0.3909
char_003_kaltsn08_2,surprise,0.3921
char_003_kaltsn08_3,surprise,0.3739
char_003_kaltsn08_4,surprise,0.2668
char_003_kaltsn08_5,surprise,0.2928
char_003_kaltsn08_6,surprise,0.2930
char_003_kaltsn09_1,surprise,0.3119
char_003_kaltsn09_2,surprise,0.3120
char_003_kaltsn09_3,surprise,0.3130
char_007_closre_1,neutral,0.3357
char_007_closre_2,neutral,0.3095
char_007_closre_3,happy,0.2908
char_007_closre_4,fear,0.3547
char_007_closre_5,fear,0.3539
char_007_closre_6,fear,0.3526
char_009_12fce_1,angry,0.3041
char_010_chen_1,happy,0.2318
char_010_chen_2,happy,0.2402
char_010_chen_3,happy,0.2348
char_010_chen_4,happy,0.2368
char_010_chen_5,happy,0.2331
char_010_chen_6,happy,0.2327
char_010_chen_7,neutral,0.1872
char_010_chen_summer,surprise,0.2861
char_011_talula_1,fear,0.2195
char_011_talula_2,fear,0.2612
char_011_talula_3,happy,0.2300
char_011_talula_4,happy,0.2323
char_012_misa_1,neutral,0.2514
char_012_misa_2,neutral,0.2491
char_012_misa_3,neutral,0.2809
char_012_misa_4,neutral,0.2795
char_012_misa_5,neutral,0.4101
char_013_riop,neutral,0.2027
char_014_riope,neutral,0.0000
char_015_lmg,neutral,0.2982
char_016_medic,happy,0.3860
char_017_homura_1,fear,0.2149
char_017_homura_10,fear,0.2163
char_017_homura_11,fear,0.2074
char_017_homura_2,fear,0.1963
char_017_homura_3,fear,0.2039
char_017_homura_4,fear,0.2951
char_017_homura_5,fear,0.2167
char_017_homura_6,fear,0.2210
char_017_homura_7,angry,0.2110
char_017_homura_8,fear,0.2145
char_017_homura_9,fear,0.2116
char_017_homura_summer,fear,0.3698
char_1002_nsabr_1,neutral,0.3224
char_1002_nsabr_2,sad,0.0000
char_1011_purgatory_1-1,neutral,0.2425
char_1011_purgatory_1-2,neutral,0.2230
